job_title|company_name|location|province|posted_at|python_yn|sql_yn|mysql_yn|postgresql_yn|database_yn|aws_yn|azure_yn|spark_yn|hadoop_yn|kafka_yn|snowflake_yn|databricks_yn|apache_yn|git_yn|github_yn|tableau_yn|power bi_yn|looker_yn|experience_needed_yn|min_salary|max_salary|avg_salary
Data Analyst|Gefami Services Indonesia|Indonesia|Not Available|2026-03-17 14:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Sensory Analyst|PT Nojorono Tobacco International|Kudus Kota, Central Java|central java|2026-02-28 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Credit Data Analyst|PT Wahana Ottomitra Multiartha (WOM Finance), Tbk|North Jakarta, Jakarta|jakarta|2026-03-13 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|||
Analis Data Support|PT PUTRA MANDIRI PERKASA INDONESIA|North Jakarta, Jakarta|jakarta|2026-03-04 01:00:00|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|5750000.0|6500000.0|6125000.0
Data Science (Machine Learning - Lead)|PT. Lintas Teknologi Indonesia|Jakarta|jakarta|2026-03-04 01:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
IT Big Data / AI - Internship|PT Bank Nationalnobu Tbk|Karawaci, Banten|banten|2026-02-21 01:00:00|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Trader / Market Analyst (Forex/Crypto)|PT. Indo Inovasi Teknologi|Bali|bali|2026-03-06 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|4500000.0|6500000.0|5500000.0
Senior Business Analyst (Head Office)|PT Lippo Malls Indonesia|West Jakarta, Jakarta|jakarta|2026-03-15 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|||
Data Engineer|PT Digdaya Duta Digital|Setiabudi, Jakarta|jakarta|2026-03-03 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
STAF DATA ANALYST|PT Mulia Farma Suci|South Tangerang, Banten|banten|2026-03-14 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5247870.0|5247870.0|5247870.0
Marketing Data Analyst Supervisor / Assistant Manager|PT Tiga Berlian Mandiri|Surabaya, East Java|east java|2026-03-17 01:00:00|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|1|||
Business Analyst|PT Natura Aromatik Nusantara|South Jakarta, Jakarta|jakarta|2026-03-17 15:00:00|1|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|1|1|0|||
Business Development Analyst|OLX Indonesia|South Jakarta, Jakarta|jakarta|2026-02-26 01:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|7000000.0|10000000.0|8500000.0
Reporting & Data Analyst Staff|PT SOS Indonesia|Jakarta|jakarta|2026-02-25 01:00:00|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
Business Analyst|PT Sinarmas LDA Maritime|Central Jakarta, Jakarta|jakarta|2026-03-17 11:00:00|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||
